SiteInfor,Country,Latitude,Longitude,Elevation,MAT,MAP,ClimateType,SamplingDepth,SamplingThickness,SandPerc,SiltPerc,ClayPerc,Texture,SoilpH,CoverCrop,CoverCropGroup,GrainCrop,GrainCropGroup,Tillage_C,Tillage_T,Fertilization_C,Fertilization_T,Conservation_Type,ControlDescription,Yield_C,Yield_T,Weed_C,Weed_T
"Southern Willamette Valley, VF(R), Oregon",USA,44.94,-122.93,66.5,,1040, Mediterranean,0-to-7.5,7.5,22,52,,Silt loam,,Mixed,Mixed,Corn,MTT,,,,,CC,Fallow,,,,
"Southern Willamette Valley, VF(R), Oregon",USA,44.94,-122.93,66.5,,1040, Mediterranean,0-to-7.5,7.5,22,52,,Silt loam,,Mixed,Mixed,Corn,MTT,,,,,CC,Fallow,,,,
"Southern Willamette Valley, VF(R), Oregon",USA,44.94,-122.93,66.5,,1040, Mediterranean,0-to-7.5,7.5,22,52,,Silt loam,,Mixed,Mixed,Corn,MTT,,,,,CC,Fallow,,,,
"Akron, CO",USA,40.19,-103.17,1384,,,,0-to-15,15,,,,Silt loam,,Austrian_winter_pea,Legume,Wheat,Wheat,Sweep tillage,Sweep tillage,1.1 Kg N-P per ha,1.1 Kg N-P per ha,CC,Fallow,3979,2670,,
"Akron, CO",USA,40.19,-103.17,1384,,,,0-to-15,15,,,,Silt loam,,Field_pea,Legume,Wheat,Wheat,Sweep tillage,Sweep tillage,1.1 Kg N-P per ha,1.1 Kg N-P per ha,CC,Fallow,3979,2663,,
"Akron, CO",USA,40.19,-103.17,1384,,,,0-to-15,15,,,,Silt loam,,Lentil,Legume,Wheat,Wheat,Sweep tillage,Sweep tillage,1.1 Kg N-P per ha,1.1 Kg N-P per ha,CC,Fallow,3979,2632,,
"Akron, CO",USA,40.19,-103.17,1384,,,,0-to-15,15,,,,Silt loam,,Vetch,Legume,Wheat,Wheat,Sweep tillage,Sweep tillage,1.1 Kg N-P per ha,1.1 Kg N-P per ha,CC,Fallow,,,,
"Akron, CO",USA,40.19,-103.17,1384,,,,0-to-15,15,,,,Silt loam,,Austrian_winter_pea,Legume,Wheat,Wheat,Sweep tillage,Sweep tillage,1.1 Kg N-P per ha,1.1 Kg N-P per ha,CC,Fallow,6032,3721,,
"Akron, CO",USA,40.19,-103.17,1384,,,,0-to-15,15,,,,Silt loam,,Field_pea,Legume,Wheat,Wheat,Sweep tillage,Sweep tillage,1.1 Kg N-P per ha,1.1 Kg N-P per ha,CC,Fallow,6032,4082,,
"Akron, CO",USA,40.19,-103.17,1384,,,,0-to-15,15,,,,Silt loam,,Lentil,Legume,Wheat,Wheat,Sweep tillage,Sweep tillage,1.1 Kg N-P per ha,1.1 Kg N-P per ha,CC,Fallow,6032,2632,,
"Akron, CO",USA,40.19,-103.17,1384,,,,0-to-15,15,,,,Silt loam,,Vetch,Legume,Wheat,Wheat,Sweep tillage,Sweep tillage,1.1 Kg N-P per ha,1.1 Kg N-P per ha,CC,Fallow,,,,
"Akron, CO",USA,40.19,-103.17,1384,,,,0-to-15,15,,,,Silt loam,,Austrian_winter_pea,Legume,Wheat,Wheat,Sweep tillage,Sweep tillage,1.1 Kg N-P per ha,1.1 Kg N-P per ha,CC,Fallow,4149,2948,,
"Akron, CO",USA,40.19,-103.17,1384,,,,0-to-15,15,,,,Silt loam,,Field_pea,Legume,Wheat,Wheat,Sweep tillage,Sweep tillage,1.1 Kg N-P per ha,1.1 Kg N-P per ha,CC,Fallow,4149,3164,,
"Akron, CO",USA,40.19,-103.17,1384,,,,0-to-15,15,,,,Silt loam,,Lentil,Legume,Wheat,Wheat,Sweep tillage,Sweep tillage,1.1 Kg N-P per ha,1.1 Kg N-P per ha,CC,Fallow,4149,2749,,
"Akron, CO",USA,40.19,-103.17,1384,,,,0-to-15,15,,,,Silt loam,,Vetch,Legume,Wheat,Wheat,Sweep tillage,Sweep tillage,1.1 Kg N-P per ha,1.1 Kg N-P per ha,CC,Fallow,,,,
"Akron, CO",USA,40.19,-103.17,1384,,,,0-to-15,15,,,,Silt loam,,Austrian_winter_pea,Legume,Wheat,Wheat,Sweep tillage,Sweep tillage,1.1 Kg N-P per ha,1.1 Kg N-P per ha,CC,Fallow,2453,1917,,
"Akron, CO",USA,40.19,-103.17,1384,,,,0-to-15,15,,,,Silt loam,,Field_pea,Legume,Wheat,Wheat,Sweep tillage,Sweep tillage,1.1 Kg N-P per ha,1.1 Kg N-P per ha,CC,Fallow,2453,2024,,
"Akron, CO",USA,40.19,-103.17,1384,,,,0-to-15,15,,,,Silt loam,,Lentil,Legume,Wheat,Wheat,Sweep tillage,Sweep tillage,1.1 Kg N-P per ha,1.1 Kg N-P per ha,CC,Fallow,,,,
"Akron, CO",USA,40.19,-103.17,1384,,,,0-to-15,15,,,,Silt loam,,Vetch,Legume,Wheat,Wheat,Sweep tillage,Sweep tillage,1.1 Kg N-P per ha,1.1 Kg N-P per ha,CC,Fallow,2453,1857,,
"Akron, CO",USA,40.19,-103.17,1384,,,,0-to-15,15,,,,Silt loam,,Austrian_winter_pea,Legume,Wheat,Wheat,Sweep tillage,Sweep tillage,1.1 Kg N-P per ha,1.1 Kg N-P per ha,CC,Fallow,4470,2327,,
"Akron, CO",USA,40.19,-103.17,1384,,,,0-to-15,15,,,,Silt loam,,Field_pea,Legume,Wheat,Wheat,Sweep tillage,Sweep tillage,1.1 Kg N-P per ha,1.1 Kg N-P per ha,CC,Fallow,4470,2269,,
"Akron, CO",USA,40.19,-103.17,1384,,,,0-to-15,15,,,,Silt loam,,Lentil,Legume,Wheat,Wheat,Sweep tillage,Sweep tillage,1.1 Kg N-P per ha,1.1 Kg N-P per ha,CC,Fallow,,,,
"Akron, CO",USA,40.19,-103.17,1384,,,,0-to-15,15,,,,Silt loam,,Vetch,Legume,Wheat,Wheat,Sweep tillage,Sweep tillage,1.1 Kg N-P per ha,1.1 Kg N-P per ha,CC,Fallow,4470,2293,,
"Akron, CO",USA,40.19,-103.17,1384,,,,0-to-15,15,,,,Silt loam,,Austrian_winter_pea,Legume,Wheat,Wheat,Sweep tillage,Sweep tillage,1.1 Kg N-P per ha,1.1 Kg N-P per ha,CC,Fallow,2455,2007,,
"Akron, CO",USA,40.19,-103.17,1384,,,,0-to-15,15,,,,Silt loam,,Field_pea,Legume,Wheat,Wheat,Sweep tillage,Sweep tillage,1.1 Kg N-P per ha,1.1 Kg N-P per ha,CC,Fallow,2455,1875,,
"Akron, CO",USA,40.19,-103.17,1384,,,,0-to-15,15,,,,Silt loam,,Lentil,Legume,Wheat,Wheat,Sweep tillage,Sweep tillage,1.1 Kg N-P per ha,1.1 Kg N-P per ha,CC,Fallow,,,,
"Akron, CO",USA,40.19,-103.17,1384,,,,0-to-15,15,,,,Silt loam,,Vetch,Legume,Wheat,Wheat,Sweep tillage,Sweep tillage,1.1 Kg N-P per ha,1.1 Kg N-P per ha,CC,Fallow,2455,1786,,
"Big Sandy site, north-central Montan",USA,47.92,-109.92,888,,,,0-to-30,30,,,,Sandy clay loam,6.1,Semileafless_pea,Legume,Winter_wheat,WO,,No tillage,0,0,CC-NT,Fallow,4760,4250,,
"Box elder site, north-central Montan",USA,48.3,-110.1,833,,,,0-to-30,30,,,,Loam,6.9,Forage_pea,Legume,Winter_wheat,WO,,No tillage,0,0,CC-NT,Fallow,4480,4430,,
"Joplin, north-central Montan",USA,48.75,-110.87,1059,,,,0-to-30,30,,,,Clay loam,7.6,Semileafless_pea,Legume,Winter_wheat,WO,,No tillage,0,0,CC-NT,Fallow,4050,3920,,
"Sunburst site, north-central Montan",USA,48.8,-111.64,1102,,,,0-to-30,30,,,,Loam,6.9,Semileafless_pea,Legume,Winter_wheat,WO,,No tillage,0,0,CC-NT,Fallow,4830,4360,,
"Oilmont site, north-central Montan",USA,48.8,-111.52,1090,,,,0-to-30,30,,,,Sandy clay loam,7.8,Lentil,Legume,Winter_wheat,WO,,No tillage,0,0,CC-NT,Fallow,1690,1510,,
"Big Sandy site, north-central Montan",USA,47.92,-109.92,888,,,,30-to-60,30,,,,Sandy clay loam,6.1,Semileafless_pea,Legume,Winter_wheat,WO,,No tillage,0,0,CC-NT,Fallow,,,,
"Box elder site, north-central Montan",USA,48.3,-110.1,833,,,,30-to-60,30,,,,Loam,6.9,Forage_pea,Legume,Winter_wheat,WO,,No tillage,0,0,CC-NT,Fallow,,,,
"Joplin, north-central Montan",USA,48.75,-110.87,1059,,,,30-to-60,30,,,,Clay loam,7.6,Semileafless_pea,Legume,Winter_wheat,WO,,No tillage,0,0,CC-NT,Fallow,,,,
"Sunburst site, north-central Montan",USA,48.8,-111.64,1102,,,,30-to-60,30,,,,Loam,6.9,Semileafless_pea,Legume,Winter_wheat,WO,,No tillage,0,0,CC-NT,Fallow,,,,
"Oilmont site, north-central Montan",USA,48.8,-111.52,1090,,,,30-to-60,30,,,,Sandy clay loam,7.8,Lentil,Legume,Winter_wheat,WO,,No tillage,0,0,CC-NT,Fallow,,,,
"Big Sandy site, north-central Montan",USA,47.92,-109.92,888,,,,60-to-90,30,,,,Sandy clay loam,6.1,Semileafless_pea,Legume,Winter_wheat,WO,,No tillage,0,0,CC-NT,Fallow,,,,
"Box elder site, north-central Montan",USA,48.3,-110.1,833,,,,60-to-90,30,,,,Loam,6.9,Forage_pea,Legume,Winter_wheat,WO,,No tillage,0,0,CC-NT,Fallow,,,,
"Joplin, north-central Montan",USA,48.75,-110.87,1059,,,,60-to-90,30,,,,Clay loam,7.6,Semileafless_pea,Legume,Winter_wheat,WO,,No tillage,0,0,CC-NT,Fallow,,,,
"Sunburst site, north-central Montan",USA,48.8,-111.64,1102,,,,60-to-90,30,,,,Loam,6.9,Semileafless_pea,Legume,Winter_wheat,WO,,No tillage,0,0,CC-NT,Fallow,,,,
"Oilmont site, north-central Montan",USA,48.8,-111.52,1090,,,,60-to-90,30,,,,Sandy clay loam,7.8,Lentil,Legume,Winter_wheat,WO,,No tillage,0,0,CC-NT,Fallow,,,,
"Big Sandy site, north-central Montan",USA,47.92,-109.92,888,,,,0-to-30,30,,,,Sandy clay loam,6.1,Semileafless_pea,Legume,Winter_wheat,WO,,No tillage,0,0,CC-NT,Fallow,,,,
"Box elder site, north-central Montan",USA,48.3,-110.1,833,,,,0-to-30,30,,,,Loam,6.9,Forage_pea,Legume,Winter_wheat,WO,,No tillage,0,0,CC-NT,Fallow,,,,
"Joplin, north-central Montan",USA,48.75,-110.87,1059,,,,0-to-30,30,,,,Clay loam,7.6,Semileafless_pea,Legume,Winter_wheat,WO,,No tillage,0,0,CC-NT,Fallow,,,,
"Sunburst site, north-central Montan",USA,48.8,-111.64,1102,,,,0-to-30,30,,,,Loam,6.9,Semileafless_pea,Legume,Winter_wheat,WO,,No tillage,0,0,CC-NT,Fallow,,,,
"Oilmont site, north-central Montan",USA,48.8,-111.52,1090,,,,0-to-30,30,,,,Sandy clay loam,7.8,Lentil,Legume,Winter_wheat,WO,,No tillage,0,0,CC-NT,Fallow,,,,
"Big Sandy site, north-central Montan",USA,47.92,-109.92,888,,,,30-to-60,30,,,,Sandy clay loam,6.1,Semileafless_pea,Legume,Winter_wheat,WO,,No tillage,0,0,CC-NT,Fallow,,,,
"Box elder site, north-central Montan",USA,48.3,-110.1,833,,,,30-to-60,30,,,,Loam,6.9,Forage_pea,Legume,Winter_wheat,WO,,No tillage,0,0,CC-NT,Fallow,,,,
"Joplin, north-central Montan",USA,48.75,-110.87,1059,,,,30-to-60,30,,,,Clay loam,7.6,Semileafless_pea,Legume,Winter_wheat,WO,,No tillage,0,0,CC-NT,Fallow,,,,
"Sunburst site, north-central Montan",USA,48.8,-111.64,1102,,,,30-to-60,30,,,,Loam,6.9,Semileafless_pea,Legume,Winter_wheat,WO,,No tillage,0,0,CC-NT,Fallow,,,,
"Oilmont site, north-central Montan",USA,48.8,-111.52,1090,,,,30-to-60,30,,,,Sandy clay loam,7.8,Lentil,Legume,Winter_wheat,WO,,No tillage,0,0,CC-NT,Fallow,,,,
"Big Sandy site, north-central Montan",USA,47.92,-109.92,888,,,,60-to-90,30,,,,Sandy clay loam,6.1,Semileafless_pea,Legume,Winter_wheat,WO,,No tillage,0,0,CC-NT,Fallow,,,,
"Box elder site, north-central Montan",USA,48.3,-110.1,833,,,,60-to-90,30,,,,Loam,6.9,Forage_pea,Legume,Winter_wheat,WO,,No tillage,0,0,CC-NT,Fallow,,,,
"Joplin, north-central Montan",USA,48.75,-110.87,1059,,,,60-to-90,30,,,,Clay loam,7.6,Semileafless_pea,Legume,Winter_wheat,WO,,No tillage,0,0,CC-NT,Fallow,,,,
"Sunburst site, north-central Montan",USA,48.8,-111.64,1102,,,,60-to-90,30,,,,Loam,6.9,Semileafless_pea,Legume,Winter_wheat,WO,,No tillage,0,0,CC-NT,Fallow,,,,
"Oilmont site, north-central Montan",USA,48.8,-111.52,1090,,,,60-to-90,30,,,,Sandy clay loam,7.8,Lentil,Legume,Winter_wheat,WO,,No tillage,0,0,CC-NT,Fallow,,,,
"Brookings, SD",USA,44.31,-96.8,495.3,,,,0-to-5,5,,,,Silty clay loam,6.3,Lentil,Legume,Corn,CS,,,,,CC,No cover crop,,,,
"Brookings, SD",USA,44.31,-96.8,495.3,,,,0-to-5,5,,,,Silty clay loam,6.3,Lentil,Legume,Corn,CS,,,,,CC,No cover crop,,,,
"Brookings, SD",USA,44.31,-96.8,495.3,,,,0-to-5,5,,,,Silty clay loam,6.3,Lentil,Legume,Corn,CS,,,,,CC,No cover crop,,,,
"Harbor, MI",USA,42.08,-86.35,213.2,,,,0-to-3,3,,,,Sand,,Rye,Rye,Acorn_Squash,Vegetable,Strip-tilled,Strip-tilled, 86.25 N-P-K- kg per ha, 86.25 N-P-K- kg per ha,CC,No cover crop,,,,
"Harbor, MI",USA,42.08,-86.35,213.2,,,,0-to-3,3,,,,Sand,,Rye,Rye,Acorn_Squash,Vegetable,full-tilled,full-tilled, 86.25 N-P-K- kg per ha, 86.25 N-P-K- kg per ha,CC,No cover crop,,,,
"Harbor, MI",USA,42.08,-86.35,213.2,,,,0-to-3,3,,,,Sand,,Rye,Rye,Acorn_Squash,Vegetable,Strip-tilled,Strip-tilled, 86.25 N-P-K- kg per ha, 86.25 N-P-K- kg per ha,CC,No cover crop,,,,
"Harbor, MI",USA,42.08,-86.35,213.2,,,,0-to-3,3,,,,Sand,,Rye,Rye,Acorn_Squash,Vegetable,full-tilled,full-tilled, 86.25 N-P-K- kg per ha, 86.25 N-P-K- kg per ha,CC,No cover crop,,,,
"Harbor, MI",USA,42.08,-86.35,213.2,,,,0-to-3,3,,,,Sand,,Rye,Rye,Acorn_Squash,Vegetable,Strip-tilled,Strip-tilled, 86.25 N-P-K- kg per ha, 86.25 N-P-K- kg per ha,CC,No cover crop,,,,
"Harbor, MI",USA,42.08,-86.35,213.2,,,,0-to-3,3,,,,Sand,,Rye,Rye,Acorn_Squash,Vegetable,full-tilled,full-tilled, 86.25 N-P-K- kg per ha, 86.25 N-P-K- kg per ha,CC,No cover crop,,,,
"Harbor, MI",USA,42.08,-86.35,213.2,,,,0-to-3,3,,,,Sand,,Rye,Rye,Acorn_Squash,Vegetable,Strip-tilled,Strip-tilled, 86.25 N-P-K- kg per ha, 86.25 N-P-K- kg per ha,CC,No cover crop,,,,
"Harbor, MI",USA,42.08,-86.35,213.2,,,,0-to-3,3,,,,Sand,,Rye,Rye,Acorn_Squash,Vegetable,full-tilled,full-tilled, 86.25 N-P-K- kg per ha, 86.25 N-P-K- kg per ha,CC,No cover crop,,,,
"Harbor, MI",USA,42.08,-86.35,213.2,,,,0-to-3,3,,,,Sand,,Rye,Rye,Acorn_Squash,Vegetable,Strip-tilled,Strip-tilled, 86.25 N-P-K- kg per ha, 86.25 N-P-K- kg per ha,CC,No cover crop,,,,
"Harbor, MI",USA,42.08,-86.35,213.2,,,,0-to-3,3,,,,Sand,,Rye,Rye,Acorn_Squash,Vegetable,full-tilled,full-tilled, 86.25 N-P-K- kg per ha, 86.25 N-P-K- kg per ha,CC,No cover crop,,,,
"Harbor, MI",USA,42.08,-86.35,213.2,,,,0-to-3,3,,,,Sand,,Rye,Rye,Acorn_Squash,Vegetable,Strip-tilled,Strip-tilled, 86.25 N-P-K- kg per ha, 86.25 N-P-K- kg per ha,CC,No cover crop,,,,
"Harbor, MI",USA,42.08,-86.35,213.2,,,,0-to-3,3,,,,Sand,,Rye,Rye,Acorn_Squash,Vegetable,full-tilled,full-tilled, 86.25 N-P-K- kg per ha, 86.25 N-P-K- kg per ha,CC,No cover crop,,,,
"Harbor, MI",USA,42.08,-86.35,213.2,,,,0-to-3,3,,,,Sand,,Rye,Rye,Acorn_Squash,Vegetable,Strip-tilled,Strip-tilled, 86.25 N-P-K- kg per ha, 86.25 N-P-K- kg per ha,CC,No cover crop,,,,
"Harbor, MI",USA,42.08,-86.35,213.2,,,,0-to-3,3,,,,Sand,,Rye,Rye,Acorn_Squash,Vegetable,full-tilled,full-tilled, 86.25 N-P-K- kg per ha, 86.25 N-P-K- kg per ha,CC,No cover crop,,,,
"Harbor, MI",USA,42.08,-86.35,213.2,,,,0-to-3,3,,,,Sand,,Rye,Rye,Acorn_Squash,Vegetable,Strip-tilled,Strip-tilled, 86.25 N-P-K- kg per ha, 86.25 N-P-K- kg per ha,CC,No cover crop,,,,
"Harbor, MI",USA,42.08,-86.35,213.2,,,,0-to-3,3,,,,Sand,,Rye,Rye,Acorn_Squash,Vegetable,full-tilled,full-tilled, 86.25 N-P-K- kg per ha, 86.25 N-P-K- kg per ha,CC,No cover crop,,,,
"Tennessee Valley Substation in Belle Mina, Alabama",USA,34.69,-86.88,181,,,,0-to-30,30,,,,Silt loam,,Rye,Rye,Cotton,Arable,Spring shallow,Spring shallow,,,CC,No cover crop,1590,1510,,
"Tennessee Valley Substation in Belle Mina, Alabama",USA,34.69,-86.88,181,,,,0-to-30,30,,,,Silt loam,,Rye,Rye,Cotton,Arable,Spring deep,Spring deep,,,CC,No cover crop,1530,1440,,
"Tennessee Valley Substation in Belle Mina, Alabama",USA,34.69,-86.88,181,,,,0-to-30,30,,,,Silt loam,,Rye,Rye,Cotton,Arable,Autumn shallow,Autumn shallow,,,CC,No cover crop,1510,1230,,
"Tennessee Valley Substation in Belle Mina, Alabama",USA,34.69,-86.88,181,,,,0-to-30,30,,,,Silt loam,,Rye,Rye,Cotton,Arable,Autumn deep,Autumn deep,,,CC,No cover crop,1420,1280,,
"Tennessee Valley Substation in Belle Mina, Alabama",USA,34.69,-86.88,181,,,,0-to-30,30,,,,Silt loam,,Rye,Rye,Cotton,Arable,No tillage,No tillage,,,CC,No cover crop,1500,1320,,
"Tennessee Valley Substation in Belle Mina, Alabama",USA,34.69,-86.88,181,,,,0-to-30,30,,,,Silt loam,,Rye,Rye,Cotton,Arable,Conventional tillage,No tillage,,,CC-NT,No cover crop,1750,1320,,
"Tennessee Valley Substation in Belle Mina, Alabama",USA,34.69,-86.88,181,,,,0-to-30,30,,,,Silt loam,,Rye,Rye,Cotton,Arable,Spring shallow,Spring shallow,,,CC,No cover crop,3930,4150,,
"Tennessee Valley Substation in Belle Mina, Alabama",USA,34.69,-86.88,181,,,,0-to-30,30,,,,Silt loam,,Rye,Rye,Cotton,Arable,Spring deep,Spring deep,,,CC,No cover crop,3900,4000,,
"Tennessee Valley Substation in Belle Mina, Alabama",USA,34.69,-86.88,181,,,,0-to-30,30,,,,Silt loam,,Rye,Rye,Cotton,Arable,Autumn shallow,Autumn shallow,,,CC,No cover crop,3630,4130,,
"Tennessee Valley Substation in Belle Mina, Alabama",USA,34.69,-86.88,181,,,,0-to-30,30,,,,Silt loam,,Rye,Rye,Cotton,Arable,Autumn deep,Autumn deep,,,CC,No cover crop,3820,4090,,
"Tennessee Valley Substation in Belle Mina, Alabama",USA,34.69,-86.88,181,,,,0-to-30,30,,,,Silt loam,,Rye,Rye,Cotton,Arable,No tillage,No tillage,,,CC,No cover crop,3730,3960,,
"Tennessee Valley Substation in Belle Mina, Alabama",USA,34.69,-86.88,181,,,,0-to-30,30,,,,Silt loam,,Rye,Rye,Cotton,Arable,Conventional tillage,No tillage,,,CC-NT,No cover crop,3740,3960,,
"Tennessee Valley Substation in Belle Mina, Alabama",USA,34.69,-86.88,181,,,,0-to-30,30,,,,Silt loam,,Rye,Rye,Cotton,Arable,Spring shallow,Spring shallow,,,CC,No cover crop,2660,2790,,
"Tennessee Valley Substation in Belle Mina, Alabama",USA,34.69,-86.88,181,,,,0-to-30,30,,,,Silt loam,,Rye,Rye,Cotton,Arable,Spring deep,Spring deep,,,CC,No cover crop,2420,2750,,
"Tennessee Valley Substation in Belle Mina, Alabama",USA,34.69,-86.88,181,,,,0-to-30,30,,,,Silt loam,,Rye,Rye,Cotton,Arable,Autumn shallow,Autumn shallow,,,CC,No cover crop,2710,3360,,
"Tennessee Valley Substation in Belle Mina, Alabama",USA,34.69,-86.88,181,,,,0-to-30,30,,,,Silt loam,,Rye,Rye,Cotton,Arable,Autumn deep,Autumn deep,,,CC,No cover crop,2680,3010,,
"Tennessee Valley Substation in Belle Mina, Alabama",USA,34.69,-86.88,181,,,,0-to-30,30,,,,Silt loam,,Rye,Rye,Cotton,Arable,No tillage,No tillage,,,CC,No cover crop,2880,3180,,
"Tennessee Valley Substation in Belle Mina, Alabama",USA,34.69,-86.88,181,,,,0-to-30,30,,,,Silt loam,,Rye,Rye,Cotton,Arable,Conventional tillage,No tillage,,,CC-NT,No cover crop,3160,3180,,
"Tennessee Valley Substation in Belle Mina, Alabama",USA,34.69,-86.88,181,,,,0-to-30,30,,,,Silt loam,,Rye,Rye,Cotton,Arable,Spring shallow,Spring shallow,,,CC,No cover crop,2510,2870,,
"Tennessee Valley Substation in Belle Mina, Alabama",USA,34.69,-86.88,181,,,,0-to-30,30,,,,Silt loam,,Rye,Rye,Cotton,Arable,Spring deep,Spring deep,,,CC,No cover crop,2240,2640,,
"Tennessee Valley Substation in Belle Mina, Alabama",USA,34.69,-86.88,181,,,,0-to-30,30,,,,Silt loam,,Rye,Rye,Cotton,Arable,Autumn shallow,Autumn shallow,,,CC,No cover crop,2410,2830,,
"Tennessee Valley Substation in Belle Mina, Alabama",USA,34.69,-86.88,181,,,,0-to-30,30,,,,Silt loam,,Rye,Rye,Cotton,Arable,Autumn deep,Autumn deep,,,CC,No cover crop,2370,2780,,
"Tennessee Valley Substation in Belle Mina, Alabama",USA,34.69,-86.88,181,,,,0-to-30,30,,,,Silt loam,,Rye,Rye,Cotton,Arable,No tillage,No tillage,,,CC,No cover crop,2620,2830,,
"Tennessee Valley Substation in Belle Mina, Alabama",USA,34.69,-86.88,181,,,,0-to-30,30,,,,Silt loam,,Rye,Rye,Cotton,Arable,Conventional tillage,No tillage,,,CC-NT,No cover crop,2480,2830,,
,USA,41.84,-85.68,244,,,,0-to-25,25,,,,Sandy loam,,Rye,Rye,Corn,Corn,,,101 Kg N per ha,101 Kg N per ha,CC,No cover crop,1308,1188,,
,USA,41.84,-85.68,244,,,,0-to-25,25,,,,Sandy loam,,Rye,Rye,Corn,Corn,,,202 Kg N per ha,202 Kg N per ha,CC,No cover crop,1167,1156,,
,USA,41.84,-85.68,244,,,,0-to-25,25,,,,Sandy loam,,Rye,Rye,Corn,Corn,,,101 Kg N per ha,101 Kg N per ha,CC,No cover crop,5047,5328,,
,USA,41.84,-85.68,244,,,,0-to-25,25,,,,Sandy loam,,Rye,Rye,Corn,Corn,,,202 Kg N per ha,202 Kg N per ha,CC,No cover crop,6211,5632,,
,USA,41.84,-85.68,244,,,,0-to-25,25,,,,Sandy loam,,Rye,Rye,Corn,Corn,,,101 Kg N per ha,101 Kg N per ha,CC,No cover crop,2928,3002,,
,USA,41.84,-85.68,244,,,,0-to-25,25,,,,Sandy loam,,Rye,Rye,Corn,Corn,,,202 Kg N per ha,202 Kg N per ha,CC,No cover crop,3407,3622,,
,USA,41.84,-85.68,244,,,,25-to-50,25,,,,Sandy loam,,Rye,Rye,Corn,Corn,,,101 Kg N per ha,101 Kg N per ha,CC,No cover crop,,,,
,USA,41.84,-85.68,244,,,,25-to-50,25,,,,Sandy loam,,Rye,Rye,Corn,Corn,,,202 Kg N per ha,202 Kg N per ha,CC,No cover crop,,,,
,USA,41.84,-85.68,244,,,,25-to-50,25,,,,Sandy loam,,Rye,Rye,Corn,Corn,,,101 Kg N per ha,101 Kg N per ha,CC,No cover crop,,,,
,USA,41.84,-85.68,244,,,,25-to-50,25,,,,Sandy loam,,Rye,Rye,Corn,Corn,,,202 Kg N per ha,202 Kg N per ha,CC,No cover crop,,,,
,USA,41.84,-85.68,244,,,,25-to-50,25,,,,Sandy loam,,Rye,Rye,Corn,Corn,,,101 Kg N per ha,101 Kg N per ha,CC,No cover crop,,,,
,USA,41.84,-85.68,244,,,,25-to-50,25,,,,Sandy loam,,Rye,Rye,Corn,Corn,,,202 Kg N per ha,202 Kg N per ha,CC,No cover crop,,,,
,USA,41.84,-85.68,244,,,,50-to-80,25,,,,Sandy loam,,Rye,Rye,Corn,Corn,,,101 Kg N per ha,101 Kg N per ha,CC,No cover crop,,,,
,USA,41.84,-85.68,244,,,,50-to-80,25,,,,Sandy loam,,Rye,Rye,Corn,Corn,,,202 Kg N per ha,202 Kg N per ha,CC,No cover crop,,,,
,USA,41.84,-85.68,244,,,,50-to-80,25,,,,Sandy loam,,Rye,Rye,Corn,Corn,,,101 Kg N per ha,101 Kg N per ha,CC,No cover crop,,,,
,USA,41.84,-85.68,244,,,,50-to-80,25,,,,Sandy loam,,Rye,Rye,Corn,Corn,,,202 Kg N per ha,202 Kg N per ha,CC,No cover crop,,,,
,USA,41.84,-85.68,244,,,,50-to-80,25,,,,Sandy loam,,Rye,Rye,Corn,Corn,,,101 Kg N per ha,101 Kg N per ha,CC,No cover crop,,,,
,USA,41.84,-85.68,244,,,,50-to-80,25,,,,Sandy loam,,Rye,Rye,Corn,Corn,,,202 Kg N per ha,202 Kg N per ha,CC,No cover crop,,,,
,USA,41.84,-85.68,244,,,,80-to-125,25,,,,Sandy loam,,Rye,Rye,Corn,Corn,,,101 Kg N per ha,101 Kg N per ha,CC,No cover crop,,,,
,USA,41.84,-85.68,244,,,,80-to-125,25,,,,Sandy loam,,Rye,Rye,Corn,Corn,,,202 Kg N per ha,202 Kg N per ha,CC,No cover crop,,,,
,USA,41.84,-85.68,244,,,,80-to-125,25,,,,Sandy loam,,Rye,Rye,Corn,Corn,,,101 Kg N per ha,101 Kg N per ha,CC,No cover crop,,,,
,USA,41.84,-85.68,244,,,,80-to-125,25,,,,Sandy loam,,Rye,Rye,Corn,Corn,,,202 Kg N per ha,202 Kg N per ha,CC,No cover crop,,,,
,USA,41.84,-85.68,244,,,,80-to-125,25,,,,Sandy loam,,Rye,Rye,Corn,Corn,,,101 Kg N per ha,101 Kg N per ha,CC,No cover crop,,,,
,USA,41.84,-85.68,244,,,,80-to-125,25,,,,Sandy loam,,Rye,Rye,Corn,Corn,,,202 Kg N per ha,202 Kg N per ha,CC,No cover crop,,,,
"Larson Agricultural Research Center, Rock Springs, PA",USA,40.72,-77.92,376,,975,,Not-available,Not-available,,,,Silt loam,,Vetch,Legume,Winter_wheat,Wheat,,,,,CC,No cover crop,,,,
"Larson Agricultural Research Center, Rock Springs, PA",USA,40.72,-77.92,376,,975,,Not-available,Not-available,,,,Silt loam,,Rye,Rye,Winter_wheat,Wheat,,,,,CC,No cover crop,,,,
,USA,38.63,-75.46,10.8,,,,0-to-15,15,,,,Loamy sand,,Rye,Rye,Corn,Corn,No tillage,No tillage,Poultry manure,Poultry manure,CC-NT,No cover crop,8568,8517,,
